2026-07-24 03:05:16.746: [INFO] VisibilityChanged: 0
2026-07-24 03:05:16.816: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-07-24 03:05:16.817: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-07-24 03:05:16.819: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-07-24 03:05:16.820: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-07-24 03:05:16.821: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-07-24 03:05:16.823: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-07-24 03:05:16.824: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-07-24 03:05:16.826: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-07-24 03:05:16.827: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-07-24 03:05:16.828: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-07-24 03:05:16.857: [INFO] BookmarkModelLoaded, ids_reassigned: 0
2026-07-24 03:05:16.857: [INFO] OnDoneLoading sync enabled: 0
2026-07-24 03:05:16.926: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-07-24 03:05:19.940: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-07-24 03:05:19.944: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 3
2026-07-24 03:05:19.947: [INFO] Primary account changed.
2026-07-24 03:05:19.947: [INFO] OnPrimaryAccountChanged PrimaryAccountChangeEvent::Type::kSet
2026-07-24 03:05:19.951: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 3
2026-07-24 03:05:19.968: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 3
2026-07-24 03:06:33.091: [INFO] BookmarkNodeAdded, ABU: 0
2026-07-24 03:06:33.091: [INFO] BookmarkNodeAdded, ABU: 0
2026-07-24 03:06:33.092: [INFO] BookmarkNodeAdded, ABU: 0
2026-07-24 03:06:33.092: [INFO] BookmarkNodeAdded, ABU: 0
2026-07-24 03:06:33.093: [INFO] BookmarkNodeAdded, ABU: 0
2026-07-24 03:06:33.094: [INFO] BookmarkNodeAdded, ABU: 0
2026-07-24 03:06:33.095: [INFO] BookmarkNodeAdded, ABU: 0
2026-07-24 03:06:33.096: [INFO] BookmarkNodeAdded, ABU: 0
2026-07-24 03:06:33.097: [INFO] BookmarkNodeAdded, ABU: 0
2026-07-24 03:06:33.097: [INFO] BookmarkNodeAdded, ABU: 0
2026-07-24 03:06:33.098: [INFO] BookmarkNodeAdded, ABU: 0
2026-07-24 03:06:33.098: [INFO] BookmarkNodeAdded, ABU: 0
2026-07-24 03:06:33.099: [INFO] BookmarkNodeAdded, ABU: 0
2026-07-24 03:06:33.099: [INFO] BookmarkNodeAdded, ABU: 0
2026-07-24 03:06:33.100: [INFO] BookmarkNodeAdded, ABU: 0
2026-07-24 03:06:33.100: [INFO] BookmarkNodeAdded, ABU: 0
2026-07-24 03:06:33.101: [INFO] BookmarkNodeAdded, ABU: 0
2026-07-24 03:06:33.102: [INFO] BookmarkNodeAdded, ABU: 0
2026-07-24 03:06:33.102: [INFO] BookmarkNodeAdded, ABU: 0
2026-07-24 03:06:33.102: [INFO] BookmarkNodeAdded, ABU: 0
2026-07-24 03:06:33.103: [INFO] BookmarkNodeAdded, ABU: 0
2026-07-24 03:06:33.103: [INFO] BookmarkNodeAdded, ABU: 0
2026-07-24 03:06:33.104: [INFO] BookmarkNodeAdded, ABU: 0
2026-07-24 03:06:33.105: [INFO] BookmarkNodeAdded, ABU: 0
